Invoice ID,Customer ID,Gender,Product_Name,Category,Unit price,Quantity,Tax 5%,Total,Date,Payment_Method
614-86-8479,C-23-4-138,Male,Scarf,Fashion_accessories,91.4,5,22.85,479.85,16/04/2023,AYA Pay
826-53-8569,C-23-4-429,Male,Sunscreen,Health_and_beauty,38.94,3,5.841,122.661,15/04/2023,Wave Pay
330-76-7772,C-23-4-545,Female,Cushion,Home_and_lifestyle,76.39,6,22.917,481.257,02/04/2023,Cash
900-19-2803,C-23-4-893,Male,Backpack,Sports_and_travel,36.45,7,12.758,267.908,14/04/2023,AYA Pay
991-77-3896,C-23-4-517,Male,Backpack,Sports_and_travel,16.58,1,0.829,17.409,12/04/2023,AYA Pay
943-56-2199,C-23-4-116,Female,Sunglasses,Fashion_accessories,98.67,5,24.668,518.018,15/04/2023,AYA Pay
306-87-4359,C-23-4-35,Male,Water Bottle,Sports_and_travel,71.08,8,28.432,597.072,02/04/2023,Card
115-15-9580,C-23-4-338,Male,Candles,Home_and_lifestyle,36.94,5,9.235,193.935,23/04/2023,KBZ Pay
985-23-4281,C-23-4-475,Female,Gym Towel,Sports_and_travel,80.42,9,36.189,759.969,06/04/2023,KBZ Pay
309-15-8435,C-23-4-224,Female,USB Cable,Electronic_accessories,25.25,10,12.625,265.125,16/04/2023,AYA Pay
338-64-4781,C-23-4-243,Female,Sunscreen,Health_and_beauty,81.37,3,12.206,256.316,27/04/2023,Card
480-55-7868,C-23-4-385,Male,Juice,Food_and_beverages,68.66,9,30.897,648.837,22/04/2023,Cash
927-13-7655,C-23-4-211,Female,Juice,Food_and_beverages,18.61,1,0.93,19.54,26/04/2023,Card
670-18-4089,C-23-4-206,Female,Hat,Fashion_accessories,89.69,2,8.969,188.349,25/04/2023,KBZ Pay
642-94-2794,C-23-4-783,Male,Shampoo,Health_and_beauty,66.69,2,6.669,140.049,16/04/2023,Wave Pay
844-57-9752,C-23-4-173,Male,Sunscreen,Health_and_beauty,87.69,7,30.691,644.521,08/04/2023,Wave Pay
551-73-6397,C-23-4-395,Male,Backpack,Sports_and_travel,37.83,10,18.915,397.215,03/04/2023,AYA Pay
339-79-8311,C-23-4-880,Female,Phone Case,Electronic_accessories,76.27,3,11.441,240.251,17/04/2023,AYA Pay
582-46-6501,C-23-4-770,Female,Gym Towel,Sports_and_travel,41.77,1,2.089,43.859,22/04/2023,AYA Pay
691-87-2037,C-23-4-945,Female,Candles,Home_and_lifestyle,13.45,2,1.345,28.245,07/04/2023,Card
201-85-7286,C-23-4-582,Male,Shampoo,Health_and_beauty,19.62,1,0.981,20.601,02/04/2023,Cash
254-30-1500,C-23-4-590,Female,Yoga Mat,Sports_and_travel,54.06,4,10.812,227.052,16/04/2023,CB Pay
140-73-4874,C-23-4-174,Female,Sunscreen,Health_and_beauty,72.12,10,36.06,757.26,12/04/2023,AYA Pay
659-60-6461,C-23-4-442,Female,Candles,Home_and_lifestyle,48.81,10,24.405,512.505,27/04/2023,Wave Pay
720-96-1012,C-23-4-980,Male,Water Bottle,Sports_and_travel,95.21,10,47.605,999.705,28/04/2023,AYA Pay
643-80-5864,C-23-4-797,Male,USB Cable,Electronic_accessories,34.47,1,1.724,36.194,03/04/2023,CB Pay
452-65-3295,C-23-4-15,Female,Shampoo,Health_and_beauty,66.6,1,3.33,69.93,12/04/2023,Wave Pay
745-57-9692,C-23-4-177,Male,Power Bank,Electronic_accessories,20.65,4,4.13,86.73,17/04/2023,Wave Pay
585-51-1723,C-23-4-363,Female,Table Lamp,Home_and_lifestyle,67.94,1,3.397,71.337,04/04/2023,AYA Pay
305-72-3016,C-23-4-560,Female,Shampoo,Health_and_beauty,18.17,8,7.268,152.628,18/04/2023,Wave Pay
840-77-4351,C-23-4-173,Male,Scarf,Fashion_accessories,82.71,6,24.813,521.073,22/04/2023,Wave Pay
667-28-6684,C-23-4-746,Male,Candles,Home_and_lifestyle,97.02,2,9.702,203.742,09/04/2023,Cash
502-23-6183,C-23-4-112,Female,Tea,Food_and_beverages,66.56,4,13.312,279.552,05/04/2023,KBZ Pay
867-84-9402,C-23-4-839,Male,Table Lamp,Home_and_lifestyle,64.15,5,16.038,336.788,25/04/2023,AYA Pay
562-32-1879,C-23-4-438,Male,Body Lotion,Health_and_beauty,40.71,5,10.178,213.728,09/04/2023,Wave Pay
799-72-7670,C-23-4-281,Female,Lip Balm,Health_and_beauty,42.82,2,4.282,89.922,01/04/2023,Card
119-50-3895,C-23-4-311,Female,Charger,Electronic_accessories,61.16,3,9.174,192.654,27/04/2023,Wave Pay
616-69-6556,C-23-4-653,Male,Phone Case,Electronic_accessories,57.34,3,8.601,180.621,05/04/2023,CB Pay
143-68-8322,C-23-4-517,Male,Power Bank,Electronic_accessories,24.87,1,1.244,26.114,06/04/2023,KBZ Pay
875-60-6007,C-23-4-263,Male,Hat,Fashion_accessories,25.94,6,7.782,163.422,10/04/2023,Card
551-39-8420,C-23-4-597,Male,Scarf,Fashion_accessories,18.46,9,8.307,174.447,15/04/2023,AYA Pay
930-18-1247,C-23-4-362,Male,Table Lamp,Home_and_lifestyle,39.77,1,1.989,41.759,10/04/2023,Wave Pay
745-21-1097,C-23-4-518,Female,Yoga Mat,Sports_and_travel,46.16,6,13.848,290.808,22/04/2023,Card
984-49-8972,C-23-4-143,Female,Yoga Mat,Sports_and_travel,58.84,6,17.652,370.692,30/04/2023,KBZ Pay
108-61-1022,C-23-4-534,Female,Scarf,Fashion_accessories,58.32,7,20.412,428.652,25/04/2023,Card
745-98-1455,C-23-8-743,Male,Chips,Food_and_beverages,73.66,3,11.049,232.029,07/08/2023,Cash
603-46-2155,C-23-8-803,Female,Running Shoes,Sports_and_travel,99.31,5,24.828,521.378,05/08/2023,Cash
266-50-6823,C-23-8-390,Female,Gym Towel,Sports_and_travel,66.24,7,23.184,486.864,25/08/2023,KBZ Pay
995-38-9319,C-23-8-769,Male,Cushion,Home_and_lifestyle,97.33,2,9.733,204.393,08/08/2023,Wave Pay
593-96-3220,C-23-8-601,Male,Yoga Mat,Sports_and_travel,99.05,5,24.763,520.013,07/08/2023,Card
550-70-8010,C-23-8-119,Male,Wall Clock,Home_and_lifestyle,50.05,4,10.01,210.21,06/08/2023,AYA Pay
498-74-9057,C-23-8-208,Male,Chips,Food_and_beverages,19.02,4,3.804,79.884,18/08/2023,Wave Pay
378-91-1965,C-23-8-322,Female,Chips,Food_and_beverages,16.66,10,8.33,174.93,09/08/2023,Wave Pay
377-24-9467,C-23-8-781,Male,Body Lotion,Health_and_beauty,86.19,10,43.095,904.995,09/08/2023,CB Pay
780-80-1660,C-23-8-20,Male,Scarf,Fashion_accessories,11.51,2,1.151,24.171,29/08/2023,KBZ Pay
942-37-8383,C-23-8-886,Male,Power Bank,Electronic_accessories,19.9,8,7.96,167.16,25/08/2023,KBZ Pay
413-86-9455,C-23-8-527,Female,Coffee,Food_and_beverages,50.54,9,22.743,477.603,24/08/2023,KBZ Pay
767-55-8245,C-23-8-511,Female,Juice,Food_and_beverages,50.0,8,20.0,420.0,01/08/2023,AYA Pay
458-67-5966,C-23-8-583,Male,Bracelet,Fashion_accessories,66.17,6,19.851,416.871,31/08/2023,KBZ Pay
741-56-4958,C-23-8-261,Female,Scarf,Fashion_accessories,18.89,4,3.778,79.338,07/08/2023,CB Pay
720-24-7789,C-23-8-387,Female,Candles,Home_and_lifestyle,96.05,9,43.222,907.672,17/08/2023,AYA Pay
496-81-9514,C-23-8-80,Female,USB Cable,Electronic_accessories,76.12,9,34.254,719.334,11/08/2023,Card
496-31-2678,C-23-8-239,Male,Body Lotion,Health_and_beauty,67.15,3,10.073,211.523,24/08/2023,CB Pay
744-71-8506,C-23-8-762,Male,Phone Case,Electronic_accessories,57.02,5,14.255,299.355,01/08/2023,Card
240-96-2026,C-23-8-43,Male,USB Cable,Electronic_accessories,43.41,8,17.364,364.644,29/08/2023,Wave Pay
885-21-9834,C-23-8-991,Female,Tea,Food_and_beverages,83.13,7,29.096,611.006,02/08/2023,Wave Pay
381-63-4740,C-23-8-710,Male,Running Shoes,Sports_and_travel,84.39,3,12.659,265.829,12/08/2023,Cash
743-33-4864,C-23-8-576,Female,Cushion,Home_and_lifestyle,38.08,9,17.136,359.856,23/08/2023,KBZ Pay
355-54-3046,C-23-8-925,Male,Juice,Food_and_beverages,40.97,2,4.097,86.037,30/08/2023,KBZ Pay
346-88-3174,C-23-8-568,Male,Chips,Food_and_beverages,95.56,5,23.89,501.69,01/08/2023,AYA Pay
202-57-2742,C-23-8-166,Male,Body Lotion,Health_and_beauty,76.24,10,38.12,800.52,06/08/2023,CB Pay
288-11-1357,C-23-8-778,Female,Candles,Home_and_lifestyle,91.94,7,32.179,675.759,29/08/2023,Cash
372-57-2565,C-23-8-943,Female,Cushion,Home_and_lifestyle,19.0,10,9.5,199.5,28/08/2023,Card
768-29-1112,C-23-8-819,Male,Backpack,Sports_and_travel,30.65,9,13.792,289.642,22/08/2023,CB Pay
505-95-7058,C-23-8-844,Female,Running Shoes,Sports_and_travel,66.37,2,6.637,139.377,12/08/2023,AYA Pay
705-15-9168,C-23-8-550,Female,Yoga Mat,Sports_and_travel,18.09,8,7.236,151.956,30/08/2023,AYA Pay
704-15-4273,C-23-8-55,Male,Wall Clock,Home_and_lifestyle,59.65,10,29.825,626.325,22/08/2023,Cash
573-33-6219,C-23-8-694,Female,Juice,Food_and_beverages,84.45,1,4.223,88.673,09/08/2023,CB Pay
686-53-6270,C-23-8-793,Male,Hat,Fashion_accessories,10.51,6,3.153,66.213,16/08/2023,CB Pay
105-66-6749,C-23-8-640,Female,Phone Case,Electronic_accessories,80.11,7,28.038,588.808,04/08/2023,Card
931-12-3378,C-23-8-920,Female,Bracelet,Fashion_accessories,43.24,4,8.648,181.608,06/08/2023,Wave Pay
604-61-2148,C-23-8-595,Female,Scarf,Fashion_accessories,43.0,3,6.45,135.45,18/08/2023,Cash
104-60-3656,C-23-8-904,Female,Earphones,Electronic_accessories,24.66,4,4.932,103.572,04/08/2023,KBZ Pay
250-76-4135,C-23-8-232,Male,Wall Clock,Home_and_lifestyle,54.9,3,8.235,172.935,31/08/2023,Cash
928-78-9593,C-23-8-224,Male,Table Lamp,Home_and_lifestyle,82.05,8,32.82,689.22,25/08/2023,AYA Pay
824-78-8036,C-23-8-739,Female,Table Lamp,Home_and_lifestyle,86.66,4,17.332,363.972,03/08/2023,Cash
394-72-4282,C-23-8-52,Female,Gym Towel,Sports_and_travel,99.88,3,14.982,314.622,10/08/2023,CB Pay
354-26-5986,C-23-8-793,Male,Cookies,Food_and_beverages,23.52,4,4.704,98.784,09/08/2023,Wave Pay
778-57-6794,C-23-8-273,Male,Scarf,Fashion_accessories,12.14,10,6.07,127.47,18/08/2023,Wave Pay
679-24-5446,C-23-8-651,Female,USB Cable,Electronic_accessories,16.92,6,5.076,106.596,03/08/2023,AYA Pay
738-25-4346,C-23-8-963,Male,Coffee,Food_and_beverages,69.87,1,3.494,73.364,24/08/2023,AYA Pay
719-40-2246,C-23-8-575,Female,Watch,Fashion_accessories,83.03,8,33.212,697.452,02/08/2023,Card
735-31-3482,C-23-8-97,Male,Tea,Food_and_beverages,45.16,1,2.258,47.418,02/08/2023,KBZ Pay
228-95-1740,C-23-8-717,Male,USB Cable,Electronic_accessories,89.63,3,13.444,282.334,23/08/2023,Card
324-88-4221,C-23-8-489,Male,Face Wash,Health_and_beauty,63.56,8,25.424,533.904,03/08/2023,Wave Pay
409-29-7639,C-23-8-746,Female,Gym Towel,Sports_and_travel,91.01,1,4.551,95.561,15/08/2023,AYA Pay
690-40-9608,C-23-8-77,Female,Watch,Fashion_accessories,80.55,9,36.247,761.197,16/08/2023,Wave Pay
741-99-2848,C-23-8-546,Female,Sunglasses,Fashion_accessories,57.24,6,17.172,360.612,30/08/2023,Card
500-12-6708,C-23-8-421,Male,Juice,Food_and_beverages,38.87,2,3.887,81.627,29/08/2023,Card
362-37-8159,C-23-8-133,Female,Bracelet,Fashion_accessories,72.67,6,21.801,457.821,28/08/2023,Card
498-20-6120,C-23-8-486,Female,Scarf,Fashion_accessories,33.38,1,1.669,35.049,07/08/2023,KBZ Pay
521-51-2703,C-23-8-943,Male,Picture Frame,Home_and_lifestyle,23.17,10,11.585,243.285,22/08/2023,AYA Pay
764-13-6525,C-23-8-140,Male,Juice,Food_and_beverages,53.56,4,10.712,224.952,25/08/2023,AYA Pay
214-89-6650,C-23-8-927,Female,Water Bottle,Sports_and_travel,29.1,4,5.82,122.22,04/08/2023,Cash
750-76-1075,C-23-8-14,Male,Sunglasses,Fashion_accessories,94.08,7,32.928,691.488,01/08/2023,AYA Pay
338-79-9248,C-23-8-346,Male,Picture Frame,Home_and_lifestyle,97.59,6,29.277,614.817,14/08/2023,Card
175-63-6930,C-23-8-20,Male,Sunscreen,Health_and_beauty,62.11,1,3.106,65.216,23/08/2023,Wave Pay
572-90-4453,C-23-8-797,Male,Wall Clock,Home_and_lifestyle,20.49,8,8.196,172.116,19/08/2023,AYA Pay
972-11-7396,C-23-8-788,Female,Phone Case,Electronic_accessories,28.15,5,7.038,147.788,15/08/2023,AYA Pay
983-62-1917,C-23-8-770,Female,Cushion,Home_and_lifestyle,98.57,6,29.571,620.991,28/08/2023,Cash
127-30-6762,C-23-8-610,Female,USB Cable,Electronic_accessories,51.47,7,18.014,378.304,02/08/2023,Wave Pay
629-29-5888,C-23-8-367,Male,Face Wash,Health_and_beauty,66.65,10,33.325,699.825,24/08/2023,Cash
997-73-5258,C-23-8-311,Male,Backpack,Sports_and_travel,68.97,2,6.897,144.837,11/08/2023,Wave Pay
234-88-6383,C-23-8-539,Male,Lip Balm,Health_and_beauty,76.7,8,30.68,644.28,28/08/2023,KBZ Pay
892-86-6064,C-23-8-345,Female,Tea,Food_and_beverages,75.16,9,33.822,710.262,24/08/2023,Cash
815-51-4341,C-23-8-19,Female,Bracelet,Fashion_accessories,98.4,6,29.52,619.92,07/08/2023,KBZ Pay
578-80-8138,C-23-8-153,Male,Running Shoes,Sports_and_travel,71.78,7,25.123,527.583,14/08/2023,Cash
364-62-6881,C-23-8-351,Female,Coffee,Food_and_beverages,95.77,2,9.577,201.117,19/08/2023,Cash
901-43-1357,C-23-8-639,Female,Watch,Fashion_accessories,73.88,7,25.858,543.018,10/08/2023,KBZ Pay
132-78-9061,C-23-8-417,Male,USB Cable,Electronic_accessories,29.29,9,13.181,276.791,29/08/2023,KBZ Pay
465-75-9861,C-23-8-988,Female,Watch,Fashion_accessories,97.73,8,39.092,820.932,04/08/2023,Wave Pay
236-78-9436,C-23-8-918,Male,Cookies,Food_and_beverages,42.21,5,10.553,221.603,23/08/2023,CB Pay
744-69-2622,C-23-8-840,Male,Coffee,Food_and_beverages,79.8,5,19.95,418.95,10/08/2023,Cash
933-53-9731,C-23-8-85,Male,Charger,Electronic_accessories,80.57,1,4.029,84.599,24/08/2023,AYA Pay
189-31-5144,C-23-8-910,Male,Earphones,Electronic_accessories,61.0,10,30.5,640.5,02/08/2023,Wave Pay
390-85-6447,C-23-8-803,Female,Running Shoes,Sports_and_travel,45.38,9,20.421,428.841,03/08/2023,AYA Pay
774-92-4675,C-23-8-411,Female,Lip Balm,Health_and_beauty,50.28,9,22.626,475.146,27/08/2023,Wave Pay
776-63-4315,C-23-8-504,Male,Power Bank,Electronic_accessories,57.11,4,11.422,239.862,11/08/2023,AYA Pay
732-29-3612,C-23-8-853,Female,Backpack,Sports_and_travel,81.65,8,32.66,685.86,28/08/2023,Cash
472-38-2110,C-23-8-895,Female,Cushion,Home_and_lifestyle,53.17,3,7.976,167.486,15/08/2023,KBZ Pay
107-62-4480,C-23-8-675,Female,Power Bank,Electronic_accessories,84.96,8,33.984,713.664,20/08/2023,Wave Pay
693-58-8323,C-23-8-466,Female,Yoga Mat,Sports_and_travel,44.34,8,17.736,372.456,14/08/2023,CB Pay
225-89-4876,C-23-8-401,Male,Juice,Food_and_beverages,78.79,6,23.637,496.377,16/08/2023,CB Pay
545-74-7301,C-23-8-143,Male,Power Bank,Electronic_accessories,21.2,6,6.36,133.56,10/08/2023,AYA Pay
881-44-8232,C-23-8-865,Female,Power Bank,Electronic_accessories,49.7,5,12.425,260.925,23/08/2023,Card
207-20-2333,C-23-8-492,Female,Yoga Mat,Sports_and_travel,51.67,7,18.085,379.775,28/08/2023,Card
920-54-6058,C-23-8-492,Male,Picture Frame,Home_and_lifestyle,60.65,6,18.195,382.095,17/08/2023,Cash
874-67-3003,C-23-8-808,Female,Table Lamp,Home_and_lifestyle,98.15,3,14.723,309.173,04/08/2023,AYA Pay
756-33-5141,C-23-8-374,Male,USB Cable,Electronic_accessories,97.3,8,38.92,817.32,27/08/2023,CB Pay
301-44-9399,C-23-8-890,Male,Sunscreen,Health_and_beauty,60.26,5,15.065,316.365,23/08/2023,Cash
313-18-7834,C-23-8-990,Male,Candles,Home_and_lifestyle,14.72,4,2.944,61.824,21/08/2023,Card
726-24-4283,C-23-8-414,Male,Scarf,Fashion_accessories,68.27,8,27.308,573.468,29/08/2023,Cash
186-22-8895,C-23-8-833,Female,Picture Frame,Home_and_lifestyle,46.32,8,18.528,389.088,09/08/2023,Cash
603-88-7457,C-23-8-775,Female,Running Shoes,Sports_and_travel,99.67,9,44.852,941.882,23/08/2023,KBZ Pay
250-91-8365,C-23-8-422,Male,Body Lotion,Health_and_beauty,65.75,3,9.863,207.113,29/08/2023,CB Pay
719-24-4799,C-23-12-851,Male,Scarf,Fashion_accessories,75.07,8,30.028,630.588,19/12/2023,Wave Pay
636-53-6615,C-23-12-708,Male,Bracelet,Fashion_accessories,79.35,8,31.74,666.54,20/12/2023,AYA Pay
196-46-4273,C-23-12-405,Male,Cookies,Food_and_beverages,26.25,9,11.812,248.062,17/12/2023,Cash
549-95-3834,C-23-12-180,Male,Tea,Food_and_beverages,13.08,3,1.962,41.202,15/12/2023,Wave Pay
739-46-6957,C-23-12-863,Male,Cushion,Home_and_lifestyle,15.38,10,7.69,161.49,23/12/2023,KBZ Pay
441-68-1179,C-23-12-709,Male,Scarf,Fashion_accessories,80.71,8,32.284,677.964,03/12/2023,KBZ Pay
438-56-8014,C-23-12-849,Male,Cushion,Home_and_lifestyle,22.05,7,7.718,162.068,04/12/2023,Card
722-59-6150,C-23-12-434,Male,Coffee,Food_and_beverages,27.7,5,6.925,145.425,26/12/2023,Wave Pay
977-15-7403,C-23-12-519,Female,Earphones,Electronic_accessories,74.44,3,11.166,234.486,18/12/2023,Cash
430-53-1750,C-23-12-919,Female,Earphones,Electronic_accessories,40.06,5,10.015,210.315,16/12/2023,Card
103-72-6750,C-23-12-407,Female,Coffee,Food_and_beverages,99.11,6,29.733,624.393,20/12/2023,KBZ Pay
377-67-3636,C-23-12-734,Female,USB Cable,Electronic_accessories,92.46,9,41.607,873.747,22/12/2023,AYA Pay
957-16-3024,C-23-12-660,Male,Candles,Home_and_lifestyle,98.1,1,4.905,103.005,18/12/2023,Card
713-89-9591,C-23-12-942,Male,Juice,Food_and_beverages,78.17,2,7.817,164.157,04/12/2023,AYA Pay
603-84-5047,C-23-12-131,Female,Bracelet,Fashion_accessories,34.13,4,6.826,143.346,04/12/2023,Wave Pay
527-10-4255,C-23-12-78,Male,Phone Case,Electronic_accessories,89.2,5,22.3,468.3,28/12/2023,Card
629-77-6475,C-23-12-620,Female,Watch,Fashion_accessories,94.17,7,32.96,692.15,18/12/2023,KBZ Pay
615-24-3543,C-23-12-872,Male,Juice,Food_and_beverages,96.73,3,14.51,304.7,01/12/2023,Card
997-11-8539,C-23-12-668,Male,Body Lotion,Health_and_beauty,17.02,7,5.957,125.097,30/12/2023,Cash
867-95-6469,C-23-12-818,Female,Gym Towel,Sports_and_travel,22.12,8,8.848,185.808,09/12/2023,Card
470-68-3029,C-23-12-285,Female,Face Wash,Health_and_beauty,39.75,5,9.938,208.688,27/12/2023,Card
162-89-2834,C-23-12-382,Male,Water Bottle,Sports_and_travel,94.43,4,18.886,396.606,21/12/2023,AYA Pay
240-75-8571,C-23-12-517,Female,Candles,Home_and_lifestyle,69.3,7,24.255,509.355,03/12/2023,AYA Pay
198-13-8093,C-23-12-714,Female,Phone Case,Electronic_accessories,54.58,6,16.374,343.854,20/12/2023,Wave Pay
525-64-6261,C-23-12-600,Male,Chips,Food_and_beverages,66.02,7,23.107,485.247,26/12/2023,CB Pay
867-51-1329,C-23-12-56,Male,Table Lamp,Home_and_lifestyle,67.13,6,20.139,422.919,11/12/2023,Card
533-87-8564,C-23-12-27,Female,Bracelet,Fashion_accessories,62.9,8,25.16,528.36,04/12/2023,KBZ Pay
910-86-4580,C-23-12-351,Female,Body Lotion,Health_and_beauty,92.32,7,32.312,678.552,01/12/2023,CB Pay
793-34-2695,C-23-12-183,Female,Sunglasses,Fashion_accessories,86.52,9,38.934,817.614,22/12/2023,Wave Pay
905-42-5887,C-23-12-778,Male,Yoga Mat,Sports_and_travel,80.66,8,32.264,677.544,05/12/2023,Card
943-43-7451,C-23-12-376,Male,Running Shoes,Sports_and_travel,17.92,10,8.96,188.16,22/12/2023,CB Pay
